timestamp_utc,datetime_utc,open,high,low,close
1285891200,2010-10-01 00:00:00,83.502,83.550,83.436,83.470
1285894800,2010-10-01 01:00:00,83.472,83.524,83.435,83.457
1285898400,2010-10-01 02:00:00,83.454,83.546,83.448,83.498
1285902000,2010-10-01 03:00:00,83.492,83.512,83.370,83.377
1285905600,2010-10-01 04:00:00,83.378,83.494,83.377,83.426
1285909200,2010-10-01 05:00:00,83.427,83.485,83.416,83.480
1285912800,2010-10-01 06:00:00,83.478,83.519,83.416,83.441
1285916400,2010-10-01 07:00:00,83.441,83.454,83.321,83.330
1285920000,2010-10-01 08:00:00,83.329,83.390,83.242,83.268
1285923600,2010-10-01 09:00:00,83.268,83.288,83.164,83.191
1285927200,2010-10-01 10:00:00,83.190,83.260,83.158,83.180
1285930800,2010-10-01 11:00:00,83.179,83.246,83.156,83.245
1285934400,2010-10-01 12:00:00,83.247,83.326,83.159,83.267
1285938000,2010-10-01 13:00:00,83.268,83.402,83.267,83.353
1285941600,2010-10-01 14:00:00,83.354,83.391,83.173,83.286
1285945200,2010-10-01 15:00:00,83.285,83.322,83.241,83.304
1285948800,2010-10-01 16:00:00,83.306,83.408,83.293,83.387
1285952400,2010-10-01 17:00:00,83.386,83.439,83.353,83.379
1285956000,2010-10-01 18:00:00,83.380,83.381,83.344,83.346
1285959600,2010-10-01 19:00:00,83.345,83.372,83.264,83.303
1285963200,2010-10-01 20:00:00,83.302,83.337,83.201,83.205
1286139600,2010-10-03 21:00:00,83.240,83.252,83.214,83.252
1286143200,2010-10-03 22:00:00,83.251,83.396,83.247,83.341
1286146800,2010-10-03 23:00:00,83.340,83.379,83.290,83.339
1286150400,2010-10-04 00:00:00,83.340,83.406,83.316,83.385
1286154000,2010-10-04 01:00:00,83.386,83.863,83.367,83.774
1286157600,2010-10-04 02:00:00,83.775,83.786,83.667,83.685
1286161200,2010-10-04 03:00:00,83.687,83.695,83.501,83.547
1286164800,2010-10-04 04:00:00,83.545,83.657,83.519,83.579
1286168400,2010-10-04 05:00:00,83.577,83.616,83.327,83.365
1286172000,2010-10-04 06:00:00,83.366,83.381,83.270,83.381
1286175600,2010-10-04 07:00:00,83.380,83.389,83.199,83.238
1286179200,2010-10-04 08:00:00,83.239,83.311,83.180,83.233
1286182800,2010-10-04 09:00:00,83.233,83.297,83.191,83.272
1286186400,2010-10-04 10:00:00,83.270,83.341,83.252,83.291
1286190000,2010-10-04 11:00:00,83.290,83.325,83.223,83.312
1286193600,2010-10-04 12:00:00,83.310,83.340,83.229,83.316
1286197200,2010-10-04 13:00:00,83.318,83.436,83.267,83.291
1286200800,2010-10-04 14:00:00,83.294,83.410,83.286,83.399
1286204400,2010-10-04 15:00:00,83.399,83.407,83.312,83.353
1286208000,2010-10-04 16:00:00,83.352,83.404,83.319,83.365
1286211600,2010-10-04 17:00:00,83.365,83.393,83.337,83.363
1286215200,2010-10-04 18:00:00,83.362,83.401,83.359,83.365
1286218800,2010-10-04 19:00:00,83.363,83.411,83.360,83.411
1286222400,2010-10-04 20:00:00,83.410,83.433,83.335,83.344
1286226000,2010-10-04 21:00:00,83.347,83.427,83.323,83.421
1286229600,2010-10-04 22:00:00,83.418,83.546,83.398,83.506
1286233200,2010-10-04 23:00:00,83.507,83.604,83.499,83.577
1286236800,2010-10-05 00:00:00,83.576,83.586,83.464,83.512
1286240400,2010-10-05 01:00:00,83.510,83.557,83.439,83.557
1286244000,2010-10-05 02:00:00,83.555,83.565,83.439,83.471
1286247600,2010-10-05 03:00:00,83.470,83.574,83.418,83.458
1286251200,2010-10-05 04:00:00,83.460,83.978,83.450,83.718
1286254800,2010-10-05 05:00:00,83.716,83.871,83.553,83.788
1286258400,2010-10-05 06:00:00,83.796,83.842,83.608,83.698
1286262000,2010-10-05 07:00:00,83.699,83.822,83.493,83.499
1286265600,2010-10-05 08:00:00,83.498,83.510,83.239,83.343
1286269200,2010-10-05 09:00:00,83.342,83.435,83.307,83.429
1286272800,2010-10-05 10:00:00,83.427,83.438,83.331,83.341
1286276400,2010-10-05 11:00:00,83.340,83.372,83.299,83.338
1286280000,2010-10-05 12:00:00,83.340,83.356,83.248,83.271
1286283600,2010-10-05 13:00:00,83.272,83.300,83.197,83.246
1286287200,2010-10-05 14:00:00,83.249,83.323,82.955,83.048
1286290800,2010-10-05 15:00:00,83.050,83.188,83.018,83.173
1286294400,2010-10-05 16:00:00,83.172,83.327,83.171,83.245
1286298000,2010-10-05 17:00:00,83.243,83.286,83.192,83.223
1286301600,2010-10-05 18:00:00,83.220,83.248,83.130,83.195
1286305200,2010-10-05 19:00:00,83.196,83.238,83.154,83.194
1286308800,2010-10-05 20:00:00,83.196,83.220,83.188,83.200
1286312400,2010-10-05 21:00:00,83.213,83.258,83.168,83.219
1286316000,2010-10-05 22:00:00,83.214,83.253,83.188,83.203
1286319600,2010-10-05 23:00:00,83.207,83.262,83.118,83.159
1286323200,2010-10-06 00:00:00,83.156,83.198,83.064,83.189
1286326800,2010-10-06 01:00:00,83.188,83.239,83.139,83.159
1286330400,2010-10-06 02:00:00,83.165,83.195,83.136,83.155
1286334000,2010-10-06 03:00:00,83.156,83.201,83.091,83.180
1286337600,2010-10-06 04:00:00,83.179,83.185,83.145,83.145
1286341200,2010-10-06 05:00:00,83.146,83.187,83.110,83.126
1286344800,2010-10-06 06:00:00,83.125,83.187,83.037,83.086
1286348400,2010-10-06 07:00:00,83.085,83.141,83.032,83.106
1286352000,2010-10-06 08:00:00,83.108,83.108,83.006,83.076
1286355600,2010-10-06 09:00:00,83.077,83.090,82.963,83.018
1286359200,2010-10-06 10:00:00,83.024,83.123,82.983,83.090
1286362800,2010-10-06 11:00:00,83.089,83.125,82.870,82.976
1286366400,2010-10-06 12:00:00,82.977,83.161,82.753,83.006
1286370000,2010-10-06 13:00:00,83.008,83.022,82.853,82.903
1286373600,2010-10-06 14:00:00,82.902,82.999,82.863,82.869
1286377200,2010-10-06 15:00:00,82.870,82.906,82.769,82.810
1286380800,2010-10-06 16:00:00,82.810,82.876,82.760,82.864
1286384400,2010-10-06 17:00:00,82.863,83.066,82.855,82.982
1286388000,2010-10-06 18:00:00,82.983,82.990,82.886,82.929
1286391600,2010-10-06 19:00:00,82.928,82.969,82.882,82.907
1286395200,2010-10-06 20:00:00,82.908,82.979,82.902,82.916
1286398800,2010-10-06 21:00:00,82.913,82.926,82.858,82.908
1286402400,2010-10-06 22:00:00,82.906,83.013,82.899,82.971
1286406000,2010-10-06 23:00:00,82.970,83.018,82.919,82.969
1286409600,2010-10-07 00:00:00,82.968,83.023,82.818,82.920
1286413200,2010-10-07 01:00:00,82.919,82.976,82.882,82.889
1286416800,2010-10-07 02:00:00,82.887,82.966,82.881,82.930
1286420400,2010-10-07 03:00:00,82.929,82.936,82.858,82.900
1286424000,2010-10-07 04:00:00,82.901,82.920,82.837,82.877
1286427600,2010-10-07 05:00:00,82.881,82.887,82.807,82.852
1286431200,2010-10-07 06:00:00,82.855,82.869,82.627,82.691
1286434800,2010-10-07 07:00:00,82.691,82.751,82.241,82.434
1286438400,2010-10-07 08:00:00,82.432,82.542,82.295,82.473
1286442000,2010-10-07 09:00:00,82.472,82.560,82.392,82.477
1286445600,2010-10-07 10:00:00,82.481,82.532,82.392,82.416
1286449200,2010-10-07 11:00:00,82.415,82.446,82.283,82.285
1286452800,2010-10-07 12:00:00,82.283,82.431,82.108,82.115
1286456400,2010-10-07 13:00:00,82.115,82.478,82.111,82.319
1286460000,2010-10-07 14:00:00,82.320,82.369,82.239,82.290
1286463600,2010-10-07 15:00:00,82.289,82.359,82.280,82.357
