timestamp_utc,datetime_utc,open,high,low,close
1675209600,2023-02-01 00:00:00,1927.37,1927.45,1927.18,1927.45
1675209660,2023-02-01 00:01:00,1927.36,1927.60,1927.25,1927.56
1675209720,2023-02-01 00:02:00,1927.53,1927.53,1927.39,1927.45
1675209780,2023-02-01 00:03:00,1927.43,1927.88,1927.39,1927.88
1675209840,2023-02-01 00:04:00,1927.87,1927.96,1927.60,1927.66
1675209900,2023-02-01 00:05:00,1927.72,1927.98,1927.42,1927.79
1675209960,2023-02-01 00:06:00,1927.77,1927.81,1927.74,1927.81
1675210020,2023-02-01 00:07:00,1927.77,1927.89,1927.59,1927.65
1675210080,2023-02-01 00:08:00,1927.64,1927.75,1927.64,1927.75
1675210140,2023-02-01 00:09:00,1927.76,1927.89,1927.73,1927.74
1675210200,2023-02-01 00:10:00,1927.76,1927.77,1927.56,1927.56
1675210260,2023-02-01 00:11:00,1927.58,1927.58,1927.24,1927.34
1675210320,2023-02-01 00:12:00,1927.35,1927.43,1927.16,1927.37
1675210380,2023-02-01 00:13:00,1927.32,1927.44,1927.25,1927.27
1675210440,2023-02-01 00:14:00,1927.26,1927.40,1927.26,1927.40
1675210500,2023-02-01 00:15:00,1927.41,1927.43,1927.17,1927.20
1675210560,2023-02-01 00:16:00,1927.10,1927.14,1926.95,1926.98
1675210620,2023-02-01 00:17:00,1926.97,1927.03,1926.96,1926.98
1675210680,2023-02-01 00:18:00,1926.96,1927.02,1926.86,1926.96
1675210740,2023-02-01 00:19:00,1926.96,1926.96,1926.75,1926.91
1675210800,2023-02-01 00:20:00,1926.93,1926.93,1926.82,1926.91
1675210860,2023-02-01 00:21:00,1926.90,1926.91,1926.82,1926.83
1675210920,2023-02-01 00:22:00,1926.84,1926.84,1926.69,1926.72
1675210980,2023-02-01 00:23:00,1926.84,1926.90,1926.77,1926.82
1675211040,2023-02-01 00:24:00,1926.83,1927.21,1926.83,1927.19
1675211100,2023-02-01 00:25:00,1927.19,1927.19,1926.95,1927.01
1675211160,2023-02-01 00:26:00,1927.02,1927.05,1926.90,1926.92
1675211220,2023-02-01 00:27:00,1926.92,1926.93,1926.72,1926.74
1675211280,2023-02-01 00:28:00,1926.76,1927.10,1926.76,1926.98
1675211340,2023-02-01 00:29:00,1926.99,1927.31,1926.97,1927.12
1675211400,2023-02-01 00:30:00,1927.12,1927.29,1927.07,1927.26
1675211460,2023-02-01 00:31:00,1927.31,1927.57,1927.24,1927.57
1675211520,2023-02-01 00:32:00,1927.55,1927.60,1927.45,1927.57
1675211580,2023-02-01 00:33:00,1927.57,1927.71,1927.53,1927.66
1675211640,2023-02-01 00:34:00,1927.83,1928.16,1927.72,1928.14
1675211700,2023-02-01 00:35:00,1928.16,1928.16,1927.83,1928.02
1675211760,2023-02-01 00:36:00,1928.01,1928.01,1927.58,1927.72
1675211820,2023-02-01 00:37:00,1927.74,1927.76,1927.63,1927.70
1675211880,2023-02-01 00:38:00,1927.68,1927.72,1927.49,1927.58
1675211940,2023-02-01 00:39:00,1927.59,1927.79,1927.58,1927.71
1675212000,2023-02-01 00:40:00,1927.70,1927.70,1927.52,1927.56
1675212060,2023-02-01 00:41:00,1927.58,1927.58,1927.51,1927.57
1675212120,2023-02-01 00:42:00,1927.64,1927.80,1927.62,1927.78
1675212180,2023-02-01 00:43:00,1927.76,1927.84,1927.63,1927.69
1675212240,2023-02-01 00:44:00,1927.65,1927.70,1927.63,1927.70
1675212300,2023-02-01 00:45:00,1927.73,1927.90,1927.61,1927.64
1675212360,2023-02-01 00:46:00,1927.65,1927.67,1927.62,1927.67
1675212420,2023-02-01 00:47:00,1927.72,1927.82,1927.66,1927.66
1675212480,2023-02-01 00:48:00,1927.69,1927.75,1927.30,1927.30
1675212540,2023-02-01 00:49:00,1927.26,1927.55,1927.23,1927.42
1675212600,2023-02-01 00:50:00,1927.41,1927.41,1927.22,1927.25
1675212660,2023-02-01 00:51:00,1927.24,1927.72,1927.24,1927.62
1675212720,2023-02-01 00:52:00,1927.58,1927.59,1927.24,1927.40
1675212780,2023-02-01 00:53:00,1927.42,1927.72,1927.42,1927.64
1675212840,2023-02-01 00:54:00,1927.67,1927.80,1927.61,1927.68
1675212900,2023-02-01 00:55:00,1927.66,1927.79,1927.17,1927.42
1675212960,2023-02-01 00:56:00,1927.50,1927.71,1927.41,1927.50
1675213020,2023-02-01 00:57:00,1927.48,1927.74,1927.48,1927.63
1675213080,2023-02-01 00:58:00,1927.62,1927.72,1927.51,1927.72
1675213140,2023-02-01 00:59:00,1927.77,1927.77,1927.52,1927.60
1675213200,2023-02-01 01:00:00,1927.62,1928.61,1927.62,1928.29
1675213260,2023-02-01 01:01:00,1928.23,1928.72,1928.15,1928.71
1675213320,2023-02-01 01:02:00,1928.77,1928.78,1928.08,1928.10
1675213380,2023-02-01 01:03:00,1928.06,1928.21,1927.94,1928.00
1675213440,2023-02-01 01:04:00,1928.03,1928.13,1927.76,1928.00
1675213500,2023-02-01 01:05:00,1928.00,1928.00,1927.64,1927.81
1675213560,2023-02-01 01:06:00,1927.86,1928.09,1927.70,1927.70
1675213620,2023-02-01 01:07:00,1927.74,1928.04,1927.74,1927.96
1675213680,2023-02-01 01:08:00,1928.00,1928.08,1927.92,1928.01
1675213740,2023-02-01 01:09:00,1928.00,1928.08,1927.74,1928.00
1675213800,2023-02-01 01:10:00,1928.01,1928.10,1927.80,1927.83
1675213860,2023-02-01 01:11:00,1927.68,1927.80,1927.18,1927.22
1675213920,2023-02-01 01:12:00,1927.20,1927.22,1926.96,1926.98
1675213980,2023-02-01 01:13:00,1926.96,1926.99,1926.47,1926.79
1675214040,2023-02-01 01:14:00,1926.79,1926.98,1926.72,1926.82
1675214100,2023-02-01 01:15:00,1926.87,1927.02,1926.72,1926.78
1675214160,2023-02-01 01:16:00,1926.74,1926.93,1926.60,1926.89
1675214220,2023-02-01 01:17:00,1926.92,1926.96,1926.47,1926.51
1675214280,2023-02-01 01:18:00,1926.52,1926.70,1926.35,1926.38
1675214340,2023-02-01 01:19:00,1926.38,1926.44,1926.14,1926.28
1675214400,2023-02-01 01:20:00,1926.30,1926.45,1926.20,1926.21
1675214460,2023-02-01 01:21:00,1926.22,1926.26,1925.97,1926.11
1675214520,2023-02-01 01:22:00,1926.08,1926.17,1925.83,1925.83
1675214580,2023-02-01 01:23:00,1925.88,1925.91,1925.68,1925.70
1675214640,2023-02-01 01:24:00,1925.72,1925.83,1925.66,1925.74
1675214700,2023-02-01 01:25:00,1925.72,1926.40,1925.72,1926.19
1675214760,2023-02-01 01:26:00,1926.12,1926.18,1925.68,1925.77
1675214820,2023-02-01 01:27:00,1925.75,1926.02,1925.60,1926.00
1675214880,2023-02-01 01:28:00,1926.02,1926.14,1925.92,1926.11
1675214940,2023-02-01 01:29:00,1926.11,1926.34,1926.10,1926.26
1675215000,2023-02-01 01:30:00,1926.27,1926.49,1926.24,1926.46
1675215060,2023-02-01 01:31:00,1926.42,1926.91,1926.42,1926.90
1675215120,2023-02-01 01:32:00,1926.91,1927.02,1926.73,1926.83
1675215180,2023-02-01 01:33:00,1926.80,1927.46,1926.80,1927.34
1675215240,2023-02-01 01:34:00,1927.28,1927.42,1927.24,1927.41
1675215300,2023-02-01 01:35:00,1927.41,1927.68,1927.38,1927.60
1675215360,2023-02-01 01:36:00,1927.55,1927.73,1927.31,1927.50
1675215420,2023-02-01 01:37:00,1927.44,1927.45,1927.18,1927.34
1675215480,2023-02-01 01:38:00,1927.34,1927.53,1927.28,1927.39
1675215540,2023-02-01 01:39:00,1927.38,1927.54,1927.28,1927.54
1675215600,2023-02-01 01:40:00,1927.55,1927.98,1927.55,1927.90
1675215660,2023-02-01 01:41:00,1927.88,1927.98,1927.77,1927.98
1675215720,2023-02-01 01:42:00,1928.01,1928.77,1928.00,1928.69
1675215780,2023-02-01 01:43:00,1928.65,1928.65,1928.11,1928.22
1675215840,2023-02-01 01:44:00,1928.22,1928.32,1928.12,1928.12
1675215900,2023-02-01 01:45:00,1928.06,1928.12,1927.64,1927.86
1675215960,2023-02-01 01:46:00,1927.89,1927.89,1927.66,1927.76
1675216020,2023-02-01 01:47:00,1927.77,1928.04,1927.76,1927.86
1675216080,2023-02-01 01:48:00,1927.86,1928.12,1927.78,1927.78
1675216140,2023-02-01 01:49:00,1927.82,1927.94,1927.66,1927.66
1675216200,2023-02-01 01:50:00,1927.58,1927.65,1927.13,1927.23
1675216260,2023-02-01 01:51:00,1927.23,1927.24,1926.90,1926.92
1675216320,2023-02-01 01:52:00,1926.92,1926.92,1926.64,1926.74
1675216380,2023-02-01 01:53:00,1926.80,1927.10,1926.76,1927.05
1675216440,2023-02-01 01:54:00,1927.08,1927.32,1927.08,1927.14
1675216500,2023-02-01 01:55:00,1927.16,1927.30,1927.12,1927.24
1675216560,2023-02-01 01:56:00,1927.20,1927.30,1927.05,1927.08
1675216620,2023-02-01 01:57:00,1927.05,1927.22,1926.96,1927.08
1675216680,2023-02-01 01:58:00,1927.02,1927.20,1926.83,1927.16
1675216740,2023-02-01 01:59:00,1927.18,1927.30,1927.06,1927.10
1675216800,2023-02-01 02:00:00,1927.08,1927.21,1927.00,1927.04
1675216860,2023-02-01 02:01:00,1927.03,1927.14,1927.00,1927.10
1675216920,2023-02-01 02:02:00,1926.92,1926.92,1926.14,1926.22
1675216980,2023-02-01 02:03:00,1926.21,1926.41,1925.88,1926.24
1675217040,2023-02-01 02:04:00,1926.25,1926.33,1925.96,1926.12
1675217100,2023-02-01 02:05:00,1926.07,1926.84,1926.02,1926.78
1675217160,2023-02-01 02:06:00,1926.75,1926.79,1926.56,1926.56
1675217220,2023-02-01 02:07:00,1926.59,1926.68,1926.55,1926.56
1675217280,2023-02-01 02:08:00,1926.60,1926.84,1926.56,1926.66
1675217340,2023-02-01 02:09:00,1926.66,1926.69,1926.24,1926.28
1675217400,2023-02-01 02:10:00,1926.30,1926.40,1926.30,1926.32
1675217460,2023-02-01 02:11:00,1926.20,1926.20,1925.34,1925.37
1675217520,2023-02-01 02:12:00,1925.36,1925.78,1925.32,1925.44
1675217580,2023-02-01 02:13:00,1925.48,1925.62,1925.32,1925.54
1675217640,2023-02-01 02:14:00,1925.56,1925.64,1925.38,1925.38
1675217700,2023-02-01 02:15:00,1925.48,1925.48,1925.15,1925.24
1675217760,2023-02-01 02:16:00,1925.32,1925.76,1925.32,1925.67
1675217820,2023-02-01 02:17:00,1925.68,1925.77,1925.54,1925.65
1675217880,2023-02-01 02:18:00,1925.63,1925.65,1925.45,1925.60
1675217940,2023-02-01 02:19:00,1925.63,1925.73,1925.49,1925.69
1675218000,2023-02-01 02:20:00,1925.73,1925.73,1925.58,1925.63
1675218060,2023-02-01 02:21:00,1925.63,1925.63,1925.33,1925.33
1675218120,2023-02-01 02:22:00,1925.27,1925.43,1925.21,1925.24
1675218180,2023-02-01 02:23:00,1925.10,1925.42,1925.10,1925.29
1675218240,2023-02-01 02:24:00,1925.37,1925.37,1925.03,1925.03
1675218300,2023-02-01 02:25:00,1925.03,1925.11,1924.92,1925.01
1675218360,2023-02-01 02:26:00,1925.00,1925.18,1924.86,1925.15
1675218420,2023-02-01 02:27:00,1925.18,1925.32,1925.08,1925.24
1675218480,2023-02-01 02:28:00,1925.26,1925.46,1925.23,1925.40
1675218540,2023-02-01 02:29:00,1925.35,1925.45,1925.07,1925.07
1675218600,2023-02-01 02:30:00,1925.09,1925.34,1924.99,1925.34
1675218660,2023-02-01 02:31:00,1925.33,1925.50,1925.31,1925.49
