timestamp_utc,close,tick_volume
1775001600,4695.22,337
1775001660,4696.32,411
1775001720,4697.82,503
1775001780,4699.50,479
1775001840,4698.45,446
1775001900,4702.38,422
1775001960,4701.08,580
1775002020,4699.26,504
1775002080,4702.08,427
1775002140,4701.08,350
1775002200,4698.25,413
1775002260,4695.77,452
1775002320,4695.55,376
1775002380,4700.35,450
1775002440,4703.48,368
1775002500,4705.22,600
1775002560,4704.55,491
1775002620,4710.66,542
1775002680,4709.30,514
1775002740,4707.50,436
1775002800,4707.83,460
1775002860,4708.97,387
1775002920,4709.95,426
1775002980,4708.91,432
1775003040,4714.58,546
1775003100,4716.41,545
1775003160,4717.58,466
1775003220,4717.30,389
1775003280,4719.61,566
1775003340,4721.58,526
1775003400,4719.96,482
1775003460,4716.05,458
1775003520,4715.27,428
1775003580,4713.65,485
1775003640,4704.84,538
1775003700,4706.50,478
1775003760,4705.02,355
1775003820,4702.63,443
1775003880,4704.00,495
1775003940,4704.32,354
1775004000,4705.23,376
1775004060,4706.57,414
1775004120,4704.25,289
1775004180,4704.86,297
1775004240,4706.56,315
1775004300,4706.37,357
1775004360,4705.35,443
1775004420,4707.40,405
1775004480,4706.39,318
1775004540,4707.01,353
1775004600,4709.44,322
1775004660,4711.56,369
1775004720,4718.24,446
1775004780,4714.84,494
1775004840,4711.42,363
1775004900,4713.46,313
1775004960,4705.84,461
1775005020,4708.45,399
1775005080,4708.48,360
1775005140,4710.94,363
1775005200,4715.90,715
1775005260,4701.82,715
1775005320,4708.49,697
1775005380,4708.12,616
1775005440,4703.80,593
1775005500,4698.62,635
1775005560,4691.26,679
1775005620,4700.06,619
1775005680,4703.27,573
1775005740,4705.91,606
1775005800,4708.78,551
1775005860,4704.43,547
1775005920,4702.14,543
1775005980,4706.70,579
1775006040,4708.27,517
1775006100,4701.32,526
1775006160,4701.72,561
1775006220,4699.30,632
1775006280,4699.96,615
1775006340,4698.04,585
1775006400,4700.12,564
1775006460,4695.18,591
1775006520,4695.40,543
1775006580,4695.61,492
1775006640,4695.27,506
1775006700,4698.59,523
1775006760,4703.03,513
1775006820,4704.02,419
1775006880,4703.62,497
1775006940,4708.26,434
1775007000,4705.69,550
1775007060,4700.74,482
1775007120,4697.09,452
1775007180,4697.11,459
1775007240,4693.18,565
1775007300,4696.04,546
1775007360,4693.98,482
1775007420,4697.43,450
1775007480,4694.04,468
1775007540,4686.42,519
1775007600,4681.75,626
1775007660,4685.60,557
1775007720,4685.31,495
1775007780,4686.66,480
1775007840,4687.78,512
1775007900,4688.70,479
1775007960,4690.52,483
1775008020,4691.80,491
1775008080,4693.55,409
1775008140,4691.42,450
1775008200,4693.60,400
1775008260,4689.82,448
1775008320,4693.96,509
1775008380,4694.17,569
1775008440,4695.23,518
1775008500,4693.94,507
1775008560,4691.00,512
1775008620,4694.22,471
1775008680,4687.52,457
1775008740,4692.77,436
1775008800,4690.56,496
1775008860,4688.58,530
1775008920,4689.27,465
1775008980,4687.14,435
1775009040,4695.27,504
1775009100,4698.22,519
1775009160,4696.54,455
1775009220,4694.38,420
1775009280,4693.23,416
1775009340,4695.69,416
1775009400,4691.56,451
1775009460,4691.54,422
1775009520,4693.08,342
1775009580,4690.90,386
1775009640,4693.96,330
1775009700,4694.86,246
1775009760,4696.03,310
1775009820,4696.45,182
1775009880,4695.50,267
1775009940,4695.89,262
1775010000,4691.00,306
1775010060,4691.63,293
1775010120,4684.20,376
1775010180,4687.56,319
1775010240,4686.96,230
1775010300,4685.78,353
1775010360,4684.61,341
1775010420,4686.96,298
1775010480,4686.64,215
1775010540,4687.84,269
1775010600,4685.41,465
1775010660,4684.41,511
1775010720,4687.16,488
1775010780,4686.92,319
1775010840,4685.41,413
1775010900,4682.74,457
1775010960,4681.00,463
1775011020,4682.71,419
1775011080,4683.13,404
1775011140,4680.45,443
1775011200,4679.86,377
1775011260,4678.54,405
1775011320,4680.41,345
1775011380,4681.53,323
1775011440,4681.72,314
1775011500,4683.00,351
1775011560,4682.70,312
1775011620,4682.23,307
1775011680,4680.45,391
1775011740,4679.82,358
1775011800,4680.92,337
1775011860,4682.19,336
1775011920,4685.91,447
1775011980,4686.17,372
1775012040,4687.14,384
1775012100,4689.10,322
1775012160,4689.46,298
1775012220,4689.43,358
1775012280,4686.24,427
1775012340,4684.48,391
1775012400,4685.52,365
1775012460,4689.82,346
1775012520,4687.08,357
1775012580,4686.60,416
1775012640,4684.79,369
1775012700,4686.40,320
1775012760,4686.63,314
1775012820,4687.40,362
1775012880,4686.24,340
1775012940,4687.10,321
1775013000,4688.94,259
1775013060,4689.78,333
1775013120,4692.01,332
1775013180,4691.94,311
1775013240,4689.51,356
1775013300,4691.14,369
1775013360,4692.20,311
1775013420,4692.51,218
1775013480,4691.86,313
1775013540,4690.30,308
1775013600,4689.50,297
1775013660,4690.38,287
1775013720,4689.77,223
1775013780,4690.21,258
1775013840,4689.74,259
1775013900,4690.20,320
1775013960,4690.42,292
1775014020,4689.01,286
1775014080,4685.85,308
1775014140,4687.28,386
1775014200,4686.58,326
1775014260,4686.87,300
1775014320,4687.04,220
1775014380,4686.15,268
1775014440,4687.58,208
1775014500,4685.67,237
