timestamp_utc,datetime_utc,open,high,low,close,ema8,ema21
1783072920,2026-07-03 10:02:00,4175.82,4175.97,4174.38,4174.39,4173.8376,4173.2915
1783072980,2026-07-03 10:03:00,4174.42,4175.33,4174.38,4175.13,4174.1248,4173.4587
1783073040,2026-07-03 10:04:00,4175.18,4176.05,4175.01,4175.92,4174.5237,4173.6824
1783073100,2026-07-03 10:05:00,4175.93,4176.73,4175.89,4176.59,4174.9829,4173.9468
1783073160,2026-07-03 10:06:00,4176.65,4177.07,4176.49,4176.49,4175.3178,4174.1780
1783073220,2026-07-03 10:07:00,4176.55,4177.7,4176.32,4177.34,4175.7672,4174.4654
1783073280,2026-07-03 10:08:00,4177.36,4179.09,4177.36,4179.09,4176.5056,4174.8858
1783073340,2026-07-03 10:09:00,4179.2,4180.56,4178.4,4178.6,4176.9710,4175.2235
1783073400,2026-07-03 10:10:00,4178.67,4178.96,4177.76,4178.88,4177.3952,4175.5559
1783073460,2026-07-03 10:11:00,4178.93,4179.63,4178.55,4179.53,4177.8696,4175.9172
1783073520,2026-07-03 10:12:00,4179.56,4180.18,4179.31,4180.08,4178.3608,4176.2956
1783073580,2026-07-03 10:13:00,4180.09,4180.8,4180,4180.67,4178.8740,4176.6933
1783073640,2026-07-03 10:14:00,4180.65,4180.74,4179.41,4179.84,4179.0886,4176.9794
1783073700,2026-07-03 10:15:00,4179.83,4180.34,4179.48,4179.91,4179.2712,4177.2458
1783073760,2026-07-03 10:16:00,4179.91,4180.31,4179.5,4179.54,4179.3309,4177.4543
1783073820,2026-07-03 10:17:00,4179.56,4180.11,4179.04,4179.14,4179.2885,4177.6076
1783073880,2026-07-03 10:18:00,4179.13,4179.86,4178.11,4179.48,4179.3310,4177.7778
1783073940,2026-07-03 10:19:00,4179.51,4180.35,4179.51,4180.28,4179.5419,4178.0053
1783074000,2026-07-03 10:20:00,4180.29,4180.42,4179.87,4180.39,4179.7304,4178.2221
1783074060,2026-07-03 10:21:00,4180.38,4180.83,4180.13,4180.6,4179.9236,4178.4382
1783074120,2026-07-03 10:22:00,4180.61,4181.15,4180.52,4180.96,4180.1539,4178.6675
1783074180,2026-07-03 10:23:00,4180.86,4180.93,4179.95,4180.1,4180.1420,4178.7977
1783074240,2026-07-03 10:24:00,4180.11,4180.51,4179.44,4180.2,4180.1549,4178.9252
1783074300,2026-07-03 10:25:00,4180.25,4181.05,4180,4180.99,4180.3404,4179.1129
1783074360,2026-07-03 10:26:00,4181,4181.07,4180.39,4180.59,4180.3959,4179.2472
1783074420,2026-07-03 10:27:00,4180.62,4181.15,4180.43,4180.43,4180.4035,4179.3547
1783074480,2026-07-03 10:28:00,4180.4,4180.79,4180.02,4180.32,4180.3849,4179.4425
