timestamp_utc,bid,ask,spread_usd_oz,spread_pips,market_open
2026-07-15 00:00:04,4052.30,4052.42,0.120,12.0,1
2026-07-15 00:00:09,4051.44,4051.56,0.120,12.0,1
2026-07-15 00:00:14,4051.43,4051.55,0.120,12.0,1
2026-07-15 00:00:19,4051.37,4051.49,0.120,12.0,1
2026-07-15 00:00:24,4051.48,4051.58,0.100,10.0,1
2026-07-15 00:00:29,4051.88,4051.98,0.100,10.0,1
2026-07-15 00:00:34,4052.16,4052.26,0.100,10.0,1
2026-07-15 00:00:39,4052.16,4052.25,0.090,9.0,1
2026-07-15 00:00:44,4052.36,4052.44,0.080,8.0,1
2026-07-15 00:00:49,4052.84,4052.95,0.110,11.0,1
2026-07-15 00:00:54,4052.83,4052.93,0.100,10.0,1
2026-07-15 00:00:59,4052.48,4052.59,0.110,11.0,1
2026-07-15 00:01:04,4052.63,4052.74,0.110,11.0,1
2026-07-15 00:01:09,4052.63,4052.73,0.100,10.0,1
2026-07-15 00:01:14,4052.84,4052.94,0.100,10.0,1
2026-07-15 00:01:19,4053.03,4053.13,0.100,10.0,1
2026-07-15 00:01:24,4052.65,4052.75,0.100,10.0,1
2026-07-15 00:01:29,4052.24,4052.34,0.100,10.0,1
2026-07-15 00:01:34,4051.90,4052.00,0.100,10.0,1
2026-07-15 00:01:39,4051.74,4051.83,0.090,9.0,1
2026-07-15 00:01:44,4051.66,4051.73,0.070,7.0,1
2026-07-15 00:01:49,4052.52,4052.64,0.120,12.0,1
2026-07-15 00:01:54,4052.47,4052.57,0.100,10.0,1
2026-07-15 00:01:59,4052.20,4052.30,0.100,10.0,1
2026-07-15 00:02:04,4052.36,4052.46,0.100,10.0,1
2026-07-15 00:02:09,4052.13,4052.21,0.080,8.0,1
2026-07-15 00:02:14,4053.26,4053.38,0.120,12.0,1
2026-07-15 00:02:19,4053.84,4053.96,0.120,12.0,1
2026-07-15 00:02:24,4053.82,4053.94,0.120,12.0,1
2026-07-15 00:02:29,4053.20,4053.32,0.120,12.0,1
2026-07-15 00:02:34,4053.44,4053.54,0.100,10.0,1
2026-07-15 00:02:39,4053.11,4053.18,0.070,7.0,1
2026-07-15 00:02:44,4052.78,4052.83,0.050,5.0,1
2026-07-15 00:02:49,4053.16,4053.27,0.110,11.0,1
2026-07-15 00:02:54,4052.98,4053.05,0.070,7.0,1
2026-07-15 00:02:59,4052.93,4052.98,0.050,5.0,1
2026-07-15 00:03:04,4053.41,4053.51,0.100,10.0,1
